Keyword	Avg. monthly searches	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Searches: Mar 2022	Searches: Apr 2022	Searches: May 2022	Searches: Jun 2022	Searches: Jul 2022	Searches: Aug 2022	Searches: Sep 2022	Searches: Oct 2022	Searches: Nov 2022	Searches: Dec 2022	Searches: Jan 2023	Searches: Feb 2023	Searches: Mar 2023	Searches: Apr 2023	Searches: May 2023	Searches: Jun 2023	Searches: Jul 2023	Searches: Aug 2023	Searches: Sep 2023	Searches: Oct 2023	Searches: Nov 2023	Searches: Dec 2023	Searches: Jan 2024	Searches: Feb 2024	Searches: Mar 2024	Searches: Apr 2024	Searches: May 2024	Searches: Jun 2024	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
iceberg model systems thinking	880	Low	1	0.72	4	880	880	720	720	590	590	590	590	590	390	590	590	720	590	590	480	390	480	590	720	720	390	590	720	720	880	720	590	480	590	720	880	590	590	720	1000	1000	880	720	720	590	720	720	880	880	720	1000	1000
ict online courses	720	Medium	48	0.268462	2.755516	720	590	880	880	880	880	1000	880	720	720	1000	720	880	720	880	880	880	880	880	880	720	590	1000	880	880	720	880	720	880	1000	3600	1600	720	590	1300	720	880	720	720	880	880	720	720	720	590	590	720	720
ieee certificate	260	Low	3	0.3	5.68	320	260	260	260	260	210	260	260	320	260	260	260	260	260	260	260	260	260	320	390	320	390	320	320	320	390	390	260	320	320	320	390	320	260	320	390	390	260	320	260	260	260	320	320	260	260	260	320
iit online courses	5400	Medium	52	0.259644	0.856657	2900	3600	3600	4400	4400	5400	4400	3600	3600	2900	2900	2900	3600	4400	5400	6600	6600	5400	4400	3600	2900	3600	4400	4400	5400	5400	8100	6600	6600	5400	5400	4400	4400	4400	5400	4400	5400	5400	8100	6600	6600	5400	4400	2900	2900	3600	3600	3600
improve critical thinking	720	Low	17	0.38009	2.344008	880	880	1300	880	880	880	1000	2900	1000	880	1000	880	1000	880	880	720	720	880	1000	1000	880	880	1000	1000	1000	1000	880	880	720	880	1000	1000	880	720	880	1000	1000	720	880	880	880	720	880	720	720	480	590	590
improve problem solving skills	320	Low	7	0.220753	2.036279	880	880	720	880	880	720	880	880	880	720	720	720	880	720	720	720	590	720	720	720	720	590	720	720	720	720	720	480	480	590	590	590	590	480	590	480	590	480	390	320	320	320	320	320	260	260	320	260
industrial engineering online	210	Medium	62	2.241391	9.920733	140	140	140	140	170	140	140	140	110	140	170	170	170	170	260	170	170	260	210	260	170	170	210	210	260	210	320	260	260	210	260	260	210	210	390	260	260	260	260	210	170	210	140	210	170	170	260	210
information architecture certification	70	Low	11	1.152372	6.51	110	110	140	90	110	140	90	90	90	140	140	90	140	110	140	110	110	110	90	70	90	70	170	90	110	110	110	210	390	260	170	140	70	70	70	70	70	50	90	50	50	50	50	20	50	50	50	260
information architecture courses	260	Low	10	0.443338	3.51	480	480	480	720	480	480	390	480	480	320	480	390	590	590	590	590	480	390	390	390	320	390	480	480	480	480	390	480	390	320	390	390	390	260	320	210	320	320	320	210	210	210	210	140	170	140	170	480
information architecture degree	30	Low	20	3.76	18.1	70	70	50	40	70	90	50	50	50	70	70	70	90	50	50	50	50	50	40	50	90	50	70	70	70	50	70	70	40	70	50	70	70	50	50	70	40	30	40	20	40	40	10	30	30	20	50	50
information technology online courses	1300	Low	21	0.64547	21.35	1000	1000	1300	1600	1300	1600	1300	1300	1300	1000	1000	1000	1300	1300	1300	1000	1000	1000	1000	1300	1600	1300	1300	1600	1900	1900	1600	1600	1600	1300	1000	1600	1600	2400	1900	1600	2900	1900	1000	1000	1300	1000	1300	1300	1300	880	1000	1300
information technology short courses online	10	Low	21			10	10	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	20	30	10	20	10	10	20	10	20	20	10	20	20	20	30	10	20	10	10	10	10	10	10	10	10	10
infosys springboard courses	3600	Low	11	0.411893	1.157719	260	140	320	390	880	2400	1900	2400	3600	1900	1900	1300	1900	2400	2400	2400	2900	4400	5400	3600	2400	2900	3600	3600	3600	3600	3600	3600	4400	3600	6600	4400	3600	2900	3600	3600	3600	3600	3600	4400	5400	4400	4400	3600	2900	3600	2900	2400
infrastructure architect course	10	Medium	34	0.270124	0.682074	20	10	30	20	30	30	30	10	10	20	20	20	20	10	20	10	30	10	20	10	10	10	20	10	10	10	10	50	20	10	20	10	20	30	20	10	10	10	10	10	10	10	10	10	10	10	10	10
institute of project management certification	10	Medium	52			20	20	20	20	20	20	20	20	20	20	30	30	30	30	30	30	40	30	40	20	20	20	30	20	40	20	10	20	30	20	10	20	10	10	10	30	20	10	10	20	10	10	10	10	10	10	10	10
intellipaat	60500	Low	24	0.110248	0.506889	74000	60500	60500	74000	90500	74000	74000	74000	74000	90500	90500	74000	90500	74000	90500	90500	90500	90500	90500	74000	74000	74000	90500	74000	74000	60500	74000	90500	90500	74000	60500	60500	60500	60500	74000	74000	74000	74000	74000	74000	74000	60500	60500	49500	60500	60500	60500	60500
international business management institute ibmi	170	Medium	64	0.373769	5.823241	90	90	90	110	90	140	110	90	110	90	110	140	140	140	140	140	140	140	140	110	110	90	110	140	140	110	170	140	210	170	140	170	170	170	170	170	140	140	210	170	170	210	210	210	170	170	170	140
intro to deep learning mit	320	Low	28	0.866397	4.78	320	210	260	170	170	140	110	140	140	140	320	170	320	390	260	390	210	210	170	170	170	320	480	320	320	320	390	320	260	210	210	210	320	260	480	320	590	390	390	390	320	320	320	260	210	320	480	260
introduction to systems engineering	170	Low	19	0.480312	3.887411	210	210	210	210	170	210	210	170	170	170	210	260	210	210	210	210	210	260	210	260	210	170	210	170	210	170	210	210	260	260	210	210	210	170	170	210	210	170	210	170	170	170	210	170	170	110	140	170
introduction to systems thinking	260	Low	25	1.11854	4.45	320	260	260	210	260	320	260	320	210	260	320	260	390	260	320	260	320	390	390	320	320	260	320	260	320	260	260	260	210	260	320	320	260	260	320	260	260	210	260	260	210	260	260	210	210	210	320	170
isaca certified in risk and information systems control crisc	40	Medium	41	0.517322	3.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	30	40	30	30	30	40	40	30	20	20	40	30	30	10	20	20	20	20	20	10	20	50	90	30	20	20	20	30	50	40	20	70
it academy courses	140	Low	27	0.155672	0.880647	720	320	390	480	480	480	390	480	590	480	880	480	390	260	390	390	320	390	320	390	320	260	480	210	170	320	260	170	260	170	170	140	110	140	260	260	210	170	260	50	50	90	110	170	140	90	170	210
it classes	3600	Medium	39	2.05	35.995732	4400	4400	4400	4400	4400	5400	5400	5400	5400	3600	5400	4400	5400	4400	5400	4400	4400	4400	5400	4400	4400	4400	5400	4400	4400	4400	5400	4400	5400	5400	4400	4400	3600	3600	4400	3600	5400	4400	4400	3600	3600	3600	3600	3600	2900	2400	3600	2900
it course	49500	Low	28	0.332429	3.839932	60500	60500	74000	90500	90500	90500	74000	60500	60500	49500	74000	60500	74000	74000	90500	90500	90500	90500	74000	60500	60500	49500	90500	74000	74000	74000	90500	90500	90500	74000	60500	60500	49500	49500	74000	60500	74000	60500	74000	60500	60500	49500	49500	40500	33100	33100	49500	40500
it courses in karachi	1000	Low	26	0.057173	0.86	720	320	720	880	1000	1000	1000	880	880	880	880	880	880	1000	1900	2900	3600	4400	2900	2400	1600	1900	2400	1600	1600	1900	2900	2400	2900	2400	1900	1600	1300	1000	1600	1300	880	1900	1900	1300	1600	1000	880	880	880	590	590	390
it courses online	4400	Medium	66	0.843575	17.76	5400	4400	5400	5400	5400	5400	5400	5400	4400	4400	6600	5400	5400	5400	5400	5400	6600	9900	8100	8100	5400	4400	6600	5400	5400	5400	5400	5400	6600	5400	4400	4400	6600	4400	8100	4400	5400	4400	3600	3600	3600	3600	4400	4400	4400	3600	4400	2900
it courses online south africa	260	High	67	0.395961	1.713066	320	260	320	320	260	390	320	320	260	170	480	260	260	170	210	210	260	210	210	170	210	140	590	480	320	320	320	260	320	320	260	320	260	170	480	260	260	210	210	170	210	210	210	210	210	210	590	320
it project management methodologies	9900	Low	15	0.058817	4.23	14800	12100	14800	12100	12100	14800	14800	14800	14800	9900	14800	14800	14800	14800	14800	12100	12100	12100	14800	14800	14800	12100	14800	14800	14800	14800	14800	14800	14800	12100	12100	14800	12100	9900	12100	12100	14800	12100	9900	9900	9900	8100	9900	8100	6600	5400	6600	6600
it short courses	1600	Medium	59	0.300393	1.810125	1300	1000	1300	1000	1300	1300	1300	1300	1300	1000	1900	1600	1600	1300	1600	1300	1300	1300	1600	1300	1600	1300	2400	1900	1900	1900	1900	1600	3600	3600	1300	1600	1300	1300	2400	1900	1900	1600	1600	1600	1300	1300	1300	1300	1300	1000	2400	1600
it short courses online	480	Medium	63	0.443873	1.716816	260	210	320	320	320	320	390	320	320	260	590	480	480	390	390	390	390	390	480	480	480	390	720	590	480	320	390	260	480	320	260	320	390	210	590	590	480	390	480	390	390	390	320	390	480	390	1000	720
it specialist training	110	Low	17	3.058998	28.749514	110	90	90	110	110	140	110	110	110	110	140	110	110	110	170	110	110	110	110	110	110	90	90	70	90	110	70	110	90	70	210	170	110	110	110	110	140	110	110	90	70	90	170	70	50	70	170	210
it studies online	480	Medium	49	0.626618	6.697237	390	390	480	480	480	590	480	480	480	480	590	480	720	590	590	480	590	720	590	590	590	480	590	590	590	590	720	590	720	590	390	480	480	480	720	590	720	720	590	390	390	390	480	260	260	260	320	390
it training courses	2400	Low	25	0.601996	6.491642	2400	1900	2400	1900	2400	2400	2400	2400	2400	1900	2900	2400	2900	1900	2400	2900	2400	2400	2400	2400	2400	2400	2900	2400	2900	2900	2900	2400	3600	2900	2400	2400	2400	2400	3600	2400	2900	3600	2400	2400	2400	2400	2900	1900	2400	1300	1900	2400
knowledge hub	33100	Low	1	0.479367	6.321916	14800	14800	14800	14800	14800	18100	18100	18100	18100	12100	14800	14800	18100	14800	22200	22200	27100	27100	27100	27100	27100	18100	27100	27100	27100	27100	27100	27100	33100	27100	49500	49500	33100	18100	27100	27100	27100	22200	27100	27100	33100	33100	40500	40500	33100	33100	33100	40500
large scale project management	40	Low	10	2.803265	12.15	70	70	70	70	70	70	70	70	70	50	70	70	90	90	90	50	90	50	70	70	50	50	70	70	50	70	70	70	70	70	70	50	50	50	40	40	50	50	40	50	30	20	140	40	30	20	30	30
leadership courses	14800	Medium	47	1.856525	8.168915	12100	9900	12100	12100	12100	12100	12100	12100	12100	9900	14800	12100	14800	12100	14800	12100	12100	12100	14800	14800	14800	14800	18100	14800	14800	14800	18100	14800	14800	14800	14800	14800	14800	12100	18100	14800	18100	14800	14800	12100	12100	12100	14800	12100	12100	9900	12100	14800
leading complex projects	50	High	69	2.5	7.646893	110	110	110	110	90	90	140	90	70	70	90	90	90	90	70	90	70	110	90	110	110	50	110	110	90	110	90	110	110	90	90	110	70	50	90	70	70	50	70	50	50	50	40	50	50	40	30	40
learn about systems	10	Medium	57			10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	110	10	10	10	10	10	10
learn enterprise architecture	30	Medium	40	1.05	9.550142	40	50	40	40	50	70	50	40	70	50	70	70	40	40	40	50	70	40	50	30	40	40	50	50	50	50	40	50	40	40	30	40	30	30	30	40	30	30	30	40	30	20	30	30	20	20	30	40
learn problem solving	480	Low	5	0.326267	2.121141	1000	1000	1000	1000	1000	880	1000	1000	1000	1000	880	1000	1000	880	1000	880	880	880	880	1000	1000	880	720	880	880	720	880	720	590	590	720	720	720	720	590	720	720	590	590	480	480	480	480	480	480	390	320	320
learn problem solving programming	20	Low	25	0.184998	1.450262	40	40	50	50	50	50	50	50	50	40	40	30	30	30	30	30	30	30	20	40	10	20	20	20	20	30	40	20	20	30	20	30	10	30	20	30	30	40	20	20	20	10	10	10	10	10	10	10
learn product management	390	Low	32	0.948464	5.58	590	720	590	720	720	720	720	590	720	590	590	590	720	590	590	590	590	480	590	590	590	590	720	590	590	590	720	590	590	590	590	480	480	480	480	390	480	480	480	480	390	390	390	320	320	320	320	480
learn project management	880	Medium	45	0.83	7.46	1000	880	1000	1000	1300	1000	1000	1000	1000	1000	1300	1000	1300	1300	1300	1000	1000	1000	1300	1000	1000	1000	1300	1000	1000	1300	1000	1000	1000	1000	1000	1000	1000	880	1300	1000	1300	1300	880	880	720	590	880	590	480	480	720	720
learn skills	12100	Low	14	0.396558	2.781845	14800	12100	12100	12100	9900	9900	14800	14800	14800	9900	14800	12100	14800	12100	14800	12100	12100	12100	12100	12100	12100	9900	14800	14800	12100	12100	12100	9900	9900	9900	12100	12100	12100	9900	14800	12100	12100	12100	12100	12100	12100	12100	18100	14800	12100	9900	12100	9900
learn software architecture	140	Medium	43	0.529031	2.832395	170	210	260	260	260	170	210	210	170	170	210	210	170	170	140	140	170	140	210	110	210	210	210	210	170	170	210	170	170	170	170	170	170	140	170	140	140	170	140	110	140	110	110	110	140	110	140	140
learn software engineering	720	Medium	47	0.63	10.49	1000	1000	1000	1000	1000	1300	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1300	1300	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	880	880	720	720	880	880	880	1000	880	720	720	720	880	720	590	480	720	590
learn system architecture	40	Medium	37	0.210242	1.542934	30	40	20	30	40	50	30	40	40	30	50	40	50	50	40	40	40	30	50	40	30	40	50	40	50	50	30	40	40	30	40	50	30	50	20	30	50	40	20	40	50	20	20	30	30	30	50	40
learn system design	880	Medium	36	0.267995	1.968928	590	720	720	590	590	720	590	590	590	590	590	480	590	480	590	590	590	590	720	590	720	720	880	880	880	880	1000	880	880	880	880	720	720	720	880	880	880	1000	880	880	1000	1000	880	880	880	1000	1000	1000
learn systems thinking	480	High	68	0.219597	4	20	10	20	20	20	10	10	30	20	20	30	30	20	20	70	70	30	40	50	40	70	50	70	70	90	90	90	110	170	480	1900	720	480	480	720	320	720	480	390	1300	390	480	590	320	390	390	320	260
learner management systems	60500	Low	24	0.911065	22.79655	60500	60500	60500	60500	49500	60500	60500	60500	60500	49500	60500	60500	60500	49500	60500	49500	49500	60500	60500	60500	60500	49500	60500	60500	74000	60500	60500	60500	60500	60500	60500	60500	60500	49500	60500	60500	60500	60500	60500	49500	49500	74000	90500	74000	74000	49500	60500	60500
learning it online	210	Medium	46	0.798284	15.217127	320	320	390	320	390	390	390	390	320	320	390	390	390	320	390	320	320	390	390	390	390	390	260	320	320	390	390	390	390	320	260	320	260	260	480	480	480	320	210	170	260	210	390	170	140	110	210	140
learning management system digiskills	20	Low	3			10	10	30	10	40	20	10	30	110	40	40	50	50	20	30	50	90	30	10	30	90	20	10	10	50	30	20	30	110	70	20	30	20	10	10	10	10	10	10	10	10	50	10	10	10	70	30	30
learning software engineering for beginners	10	High	75	0.152928	3.21	10	20	20	30	40	40	40	20	30	30	50	10	10	10	20	10	10	20	10	10	10	10	30	20	20	20	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10
learning tcsionhub	170	Low	12	0.470636	1.825165	880	590	720	880	720	880	1000	720	590	720	880	880	1300	6600	4400	6600	3600	5400	6600	2400	1900	880	320	320	320	210	170	110	210	110	170	90	70	50	70	70	110	90	110	90	210	90	70	110	170	590	260	210
learning to solve problems	30	Low	3			40	50	50	40	50	30	50	50	50	40	50	30	40	40	50	40	40	30	40	40	40	20	30	30	50	40	30	20	30	20	50	40	40	30	40	30	40	40	20	30	20	20	20	30	30	30	20	30
learnvern	135000	Low	21	0.224219	0.70278	110000	110000	90500	74000	74000	90500	74000	74000	74000	74000	110000	165000	201000	165000	135000	135000	110000	90500	74000	60500	60500	74000	74000	60500	60500	60500	60500	60500	60500	60500	49500	40500	40500	40500	60500	40500	40500	74000	201000	246000	201000	165000	165000	110000	110000	110000	110000	74000
learnvern courses	210	Low	33	0.246517	0.959466	170	110	260	140	140	170	170	110	90	170	210	260	320	320	210	320	320	260	110	110	140	110	110	70	110	110	110	70	70	90	70	50	30	70	70	70	110	140	260	390	260	260	170	170	140	110	170	110
lms	3350000	Low	4	1.142358	10.409379	3350000	2240000	3350000	2240000	1220000	1830000	2740000	3350000	3350000	2240000	2740000	2740000	2740000	2240000	3350000	1830000	1500000	1500000	2240000	2740000	2740000	1830000	2240000	2240000	2240000	2240000	2740000	1500000	1500000	1830000	2740000	3350000	3350000	2740000	2240000	2740000	3350000	3350000	3350000	2740000	2240000	1830000	3350000	4090000	4090000	3350000	3350000	2740000
lms digital skills	320	Low	9	0.277937	0.96	70	70	90	140	170	110	110	140	210	90	90	210	390	110	110	260	720	390	390	260	390	320	210	140	320	210	210	260	480	210	90	110	40	30	30	30	10	10	10	90	260	480	320	260	260	880	720	390
lms digital skills pk	480	Low	2	0.38	0.98	70	40	20	70	260	210	110	140	210	90	90	210	320	50	40	110	390	90	70	110	210	140	170	70	260	170	70	170	210	50	30	20	10	20	10	10	10	10	10	10	110	1000	720	480	260	1600	1300	590
lms le	10	Low				10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	20	10	10	10	20	10	10	10	10	10	20	10	10	10	10	10	10	20	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10
lms learnership	1000	Low	12	0.258217	3.33	50	40	50	110	90	110	50	40	50	10	50	40	40	40	6600	1000	1000	49500	12100	18100	5400	2400	3600	2400	1600	2400	1600	1300	1600	1600	1000	1300	1000	720	3600	1900	1600	1300	1300	1300	1000	880	880	720	1000	390	880	720
lms learning management system	60500	Low	24	0.911065	22.79655	60500	60500	60500	60500	49500	60500	60500	60500	60500	49500	60500	60500	60500	49500	60500	49500	49500	60500	60500	60500	60500	49500	60500	60500	74000	60500	60500	60500	60500	60500	60500	60500	60500	49500	60500	60500	60500	60500	60500	49500	49500	74000	90500	74000	74000	49500	60500	60500
logic courses	880	Low	10	0.3843	3.17707	1000	1000	1000	1300	1000	1000	880	1000	1000	1000	1000	1000	1300	1000	1300	1000	880	1000	1000	1000	880	880	1000	1000	1000	1000	1000	1000	1000	1000	880	1000	1600	1000	1000	880	1000	880	1000	880	880	880	1000	880	880	720	880	880
logical reasoning critical thinking mcqs	10	Low	4			20	30	10	20	30	40	20	30	30	10	10	10	10	20	10	10	30	70	20	10	20	10	10	10	20	10	10	30	40	70	140	10	10	10	10	10	10	10	0	10	10	20	30	10	10	10	10	10
logical thinking training	40	Medium	43	0.33	1.45	50	50	70	50	50	50	50	70	70	70	90	90	70	70	90	90	90	70	70	70	90	70	70	70	90	90	90	90	90	50	90	110	70	50	140	50	50	40	50	40	50	40	30	40	40	40	30	40
logistics and supply chain management courses	6600	Medium	52	0.43538	2.386178	4400	4400	4400	5400	5400	6600	5400	5400	4400	4400	5400	4400	5400	5400	6600	5400	6600	6600	5400	5400	5400	5400	8100	6600	6600	8100	8100	8100	8100	6600	6600	6600	5400	5400	8100	6600	6600	8100	8100	8100	6600	6600	5400	5400	5400	4400	8100	5400
logistics certificate	2400	Medium	40	0.906889	8.314175	2400	1900	2400	1900	1900	2400	2400	1900	1900	1900	2400	2400	2400	2400	2900	2400	2400	2400	2400	2400	2400	2400	2900	2900	2400	2900	2900	2900	3600	2900	3600	2900	2400	2400	2900	2900	2900	2400	2400	2400	2400	2400	2400	1900	1900	1600	2400	2900
logistics course	22200	Medium	38	0.289637	1.574046	12100	12100	14800	18100	18100	18100	18100	14800	14800	12100	22200	14800	18100	18100	22200	22200	22200	18100	18100	18100	14800	14800	27100	18100	22200	22200	33100	27100	49500	40500	18100	22200	22200	18100	27100	22200	22200	27100	33100	27100	27100	22200	18100	18100	14800	12100	27100	18100
logistics management	18100	Low	12	0.391583	5.24	27100	22200	27100	27100	27100	27100	27100	27100	27100	27100	27100	27100	27100	27100	27100	22200	22200	22200	22200	22200	22200	22200	27100	22200	22200	22200	27100	22200	22200	22200	18100	18100	18100	18100	22200	22200	22200	22200	22200	18100	14800	14800	18100	14800	14800	12100	14800	12100
logistics management training	140	Low	9	0.484311	9.594096	140	110	140	140	170	210	140	170	210	170	210	140	170	170	170	140	170	140	140	170	170	110	170	140	140	140	140	170	210	210	140	170	110	110	170	170	170	110	110	140	110	110	110	90	110	70	140	390
logistics online course	1600	Medium	58	0.53013	5.188279	1300	1300	1300	1600	1600	1600	1300	1300	1300	1300	1900	1300	1600	1600	1600	1300	1300	1600	1600	1600	1600	1600	1600	1600	1300	1600	1600	1600	1600	1300	1900	1900	1600	1600	1600	1600	1900	1600	1600	1300	1600	1600	1300	1300	1300	1300	1900	1600
logistics simulation	210	Low	20	0.947067	6.94	170	170	140	140	170	210	110	170	170	110	140	140	110	110	140	110	110	90	140	140	140	170	110	140	170	110	140	110	110	90	90	140	90	90	170	320	390	390	210	110	90	110	590	140	70	90	90	70
logistics training	1300	Low	31	0.715275	8.085515	1600	1300	1300	1600	1300	1900	1600	1600	1600	1300	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1300	1900	1600	1600	1300	1600	1600	1600	1300	1300	1600	1600	1300	1600	1600	1600	1600	1600	1300	1000	1000	1900	1000	1000	880	1300	1300
machine learning course for product managers	10	High	86	1.321744	5.09	10	10	30	10	10	10	10	10	10	10	10	20	20	10	10	20	20	10	10	10	10	10	30	30	20	10	20	20	20	10	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10
management	1220000	Low	3	0.404394	6.045451	1220000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1220000	1000000	1000000	1000000	1000000	1000000	1220000	1220000	1220000	1000000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1220000	1500000	1220000	1220000	1830000	1500000	1220000	1220000	1220000	1220000	1220000	1220000	1830000	1220000	1220000	1220000	1220000	1220000	1000000
massachusetts institute of technology apply	2400	Low	20	0.712497	5.667325	1900	1300	1000	1300	1600	2900	2400	3600	2400	3600	2400	1300	1600	1000	1300	1300	1600	2900	2900	4400	2900	4400	2900	1900	1900	1300	1600	1600	1600	3600	3600	4400	3600	4400	2900	1600	1900	1300	1300	1300	1600	3600	3600	4400	2900	4400	2900	1300
master data structures and algorithms	70	Low	28	0.317083	2.33	110	90	90	110	170	110	110	90	90	70	90	50	70	70	70	50	70	70	90	70	90	50	90	70	50	70	90	70	70	50	140	210	50	40	50	70	70	70	90	70	70	70	110	90	70	70	50	90
